pc_timestamp,dt,ax,ay,az,gx,gy,gz,true_vertical_accel,v_z,d_z
1778893787.191885,0.01,-0.005615234375,-0.0208740234375,1.013916015625,0.42724609375,-0.54931640625,-0.48828125,-0.007254981372090796,0.0,-1.8137453430226993e-07
1778893787.191885,0.01,-0.006103515625,-0.0218505859375,1.01513671875,0.42724609375,-0.48828125,-0.54931640625,0.004544613753711957,0.0,-2.4913372476174093e-07
1778893787.191885,0.01,-0.005859375,-0.021728515625,1.015380859375,0.42724609375,-0.48828125,-0.54931640625,0.0069057912843302205,0.0,3.712640118931349e-08
1778893787.191885,0.01,-0.0064697265625,-0.02099609375,1.0137939453125,0.48828125,-0.48828125,-0.54931640625,-0.008432352668561904,0.0,-1.0376334164786071e-09
1778893787.191885,0.01,-0.0078125,-0.0205078125,1.0118408203125,0.48828125,-0.48828125,-0.48828125,-0.027309775250433432,0.0,-8.94590831391362e-07
1778893787.191885,0.01,-0.008544921875,-0.020263671875,1.013427734375,0.48828125,-0.48828125,-0.54931640625,-0.011972984316724222,0.0,-1.8766598205703034e-06
1778893787.191885,0.01,-0.0081787109375,-0.0203857421875,1.0128173828125,0.42724609375,-0.42724609375,-0.54931640625,-0.0178695816255523,0.0,-2.6227239691272162e-06
1778893787.191885,0.01,-0.007080078125,-0.0205078125,1.0147705078125,0.42724609375,-0.48828125,-0.54931640625,0.0010085552532554942,0.0,-3.0442496284346364e-06
1778893787.191885,0.01,-0.0069580078125,-0.0205078125,1.0157470703125,0.48828125,-0.54931640625,-0.54931640625,0.010445612281261063,0.0,-2.7578954400717224e-06
1778893787.191885,0.01,-0.006591796875,-0.0203857421875,1.01171875,0.54931640625,-0.48828125,-0.54931640625,-0.02849043012937358,0.0,-3.209015886274535e-06
1778893787.191885,0.01,-0.0057373046875,-0.021240234375,1.012451171875,0.48828125,-0.48828125,-0.54931640625,-0.021412331053790368,0.0,-4.456584915853634e-06
1778893787.191885,0.01,-0.006103515625,-0.0220947265625,1.01416015625,0.42724609375,-0.48828125,-0.54931640625,-0.004893492908873753,0.0,-5.114230514920237e-06
1778893787.191885,0.01,-0.008056640625,-0.0218505859375,1.015869140625,0.42724609375,-0.48828125,-0.54931640625,0.011625581902874771,0.0,-4.945928290070212e-06
1778893787.191885,0.01,-0.010009765625,-0.02197265625,1.0167236328125,0.42724609375,-0.54931640625,-0.48828125,0.019885179203635417,0.0,-4.158159262407457e-06
1778893787.191885,0.01,-0.010986328125,-0.0216064453125,1.0159912109375,0.54931640625,-0.48828125,-0.54931640625,0.012803645995067114,0.0,-3.3409386324398935e-06
1778893787.191885,0.01,-0.0115966796875,-0.0201416015625,1.0115966796875,0.6103515625,-0.42724609375,-0.54931640625,-0.029672527211015876,0.0,-3.7626606628386124e-06
1778893787.191885,0.01,-0.0106201171875,-0.0196533203125,1.009033203125,0.42724609375,-0.48828125,-0.54931640625,-0.05444687054797015,0.0,-5.865645606813263e-06
1778893787.191885,0.01,-0.0078125,-0.02099609375,1.0137939453125,0.3662109375,-0.48828125,-0.54931640625,-0.008431896907321601,0.0,-7.437614793195557e-06
1778893787.191885,0.01,-0.006103515625,-0.0224609375,1.0162353515625,0.42724609375,-0.54931640625,-0.54931640625,0.015164693168763677,0.0,-7.269294886659505e-06
1778893787.191885,0.01,-0.0050048828125,-0.023681640625,1.01806640625,0.48828125,-0.48828125,-0.54931640625,0.03286086949620248,0.0,-6.068655820035351e-06
1778893787.499683,0.01,-0.00537109375,-0.023681640625,1.0172119140625,0.6103515625,-0.42724609375,-0.54931640625,0.02459731249870245,0.0,-4.632201270162728e-06
1778893787.499683,0.01,-0.0059814453125,-0.0223388671875,1.01025390625,0.54931640625,-0.48828125,-0.54931640625,-0.042653704587767294,0.0,-5.083611072389349e-06
1778893787.499683,0.01,-0.005615234375,-0.0216064453125,1.0079345703125,0.42724609375,-0.54931640625,-0.54931640625,-0.06506878449748221,0.0,-7.776673299520587e-06
1778893787.499683,0.01,-0.0062255859375,-0.0218505859375,1.0150146484375,0.3662109375,-0.48828125,-0.54931640625,0.0033634196024419083,0.0,-9.319307421896594e-06
1778893787.499683,0.01,-0.0069580078125,-0.02197265625,1.0203857421875,0.42724609375,-0.48828125,-0.54931640625,0.0552763331282371,0.0,-7.85331360362962e-06
1778893787.499683,0.01,-0.00732421875,-0.0213623046875,1.0174560546875,0.54931640625,-0.48828125,-0.54931640625,0.026958495784700887,0.0,-5.79744288080617e-06
1778893787.499683,0.01,-0.0076904296875,-0.0203857421875,1.014404296875,0.54931640625,-0.48828125,-0.54931640625,-0.0025388668260024616,0.0,-5.186952156838709e-06
1778893787.499683,0.01,-0.0072021484375,-0.0194091796875,1.0108642578125,0.48828125,-0.48828125,-0.54931640625,-0.0367534644520191,0.0,-6.169260438789249e-06
1778893787.499683,0.01,-0.0062255859375,-0.01953125,1.0089111328125,0.3662109375,-0.54931640625,-0.54931640625,-0.0556278089562241,0.0,-8.478792273995328e-06
1778893787.499683,0.01,-0.0050048828125,-0.0203857421875,1.0155029296875,0.42724609375,-0.48828125,-0.54931640625,0.008082238973496914,0.0,-9.667431523563507e-06
1778893787.499683,0.01,-0.0047607421875,-0.0211181640625,1.0203857421875,0.48828125,-0.48828125,-0.54931640625,0.055273355873916685,0.0,-8.083541652378168e-06
1778893787.499683,0.01,-0.0054931640625,-0.021240234375,1.01708984375,0.54931640625,-0.48828125,-0.54931640625,0.023416252822848094,0.0,-6.116301434959048e-06
1778893787.499683,0.01,-0.0068359375,-0.0208740234375,1.01171875,0.54931640625,-0.42724609375,-0.48828125,-0.028496292437763415,0.0,-6.243302425331931e-06
1778893787.499683,0.01,-0.008056640625,-0.02197265625,1.0096435546875,0.48828125,-0.48828125,-0.54931640625,-0.04855324038682696,0.0,-8.16954074594669e-06
