timestamp,ax,ay,az,gx,gy,gz
1777100175.6705005,0.14306640625,-0.064697265625,0.9271240234375,-80.74951171875,-22.64404296875,52.24609375
1777100175.6705005,0.1151123046875,-0.026123046875,0.9283447265625,-77.69775390625,-19.59228515625,57.0068359375
1777100175.6705005,0.125244140625,0.002685546875,0.9405517578125,-75.01220703125,-16.11328125,62.8662109375
1777100175.6705005,0.1629638671875,-0.0054931640625,0.965576171875,-64.39208984375,-16.78466796875,56.70166015625
1777100175.6705005,0.2005615234375,0.009521484375,0.9744873046875,-47.54638671875,-18.37158203125,39.55078125
1777100175.6705005,0.2174072265625,0.0489501953125,0.9736328125,-23.74267578125,-12.3291015625,23.5595703125
1777100175.6705005,0.1884765625,0.081787109375,1.0098876953125,-8.48388671875,-7.87353515625,9.70458984375
1777100175.6705005,0.145263671875,0.11181640625,1.033203125,0.54931640625,-21.3623046875,-3.662109375
1777100175.6705005,0.142333984375,0.1383056640625,1.0001220703125,7.50732421875,-30.8837890625,-14.16015625
1777100175.6705005,0.1767578125,0.1064453125,1.066162109375,20.32470703125,-20.56884765625,-14.46533203125
1777100175.6705005,0.276611328125,0.11474609375,1.0733642578125,119.81201171875,57.9833984375,8.11767578125
1777100175.6705005,0.283935546875,0.2332763671875,1.0172119140625,151.30615234375,101.806640625,16.78466796875
1777100175.6705005,0.1636962890625,0.24609375,1.05859375,94.17724609375,79.833984375,21.30126953125
1777100175.6705005,0.1134033203125,0.194580078125,1.0894775390625,86.9140625,65.00244140625,23.681640625
1777100175.6705005,0.1419677734375,0.245361328125,1.0797119140625,56.94580078125,55.48095703125,16.90673828125
1777100175.6705005,0.151611328125,0.2403564453125,1.0391845703125,22.64404296875,53.22265625,5.615234375
1777100175.6705005,0.0908203125,0.2069091796875,1.0523681640625,21.6064453125,53.466796875,4.21142578125
1777100175.6705005,0.0341796875,0.2509765625,1.055419921875,10.19287109375,36.68212890625,7.26318359375
1777100175.6705005,0.0537109375,0.2548828125,0.99755859375,12.39013671875,31.3720703125,5.615234375
1777100175.6705005,0.097900390625,0.224609375,0.959716796875,24.84130859375,42.90771484375,-1.3427734375
1777100175.6705005,0.069091796875,0.1812744140625,0.9332275390625,32.40966796875,65.49072265625,-10.19287109375
1777100175.6705005,-0.031982421875,0.1412353515625,0.9366455078125,71.59423828125,101.318359375,-19.04296875
1777100175.6705005,-0.0870361328125,0.1328125,0.9688720703125,138.0615234375,152.03857421875,-21.91162109375
1777100175.6705005,-0.0513916015625,0.1405029296875,0.9068603515625,225.76904296875,200.3173828125,-15.13671875
1777100175.6705005,-0.1009521484375,0.2572021484375,0.9013671875,213.5009765625,203.06396484375,-0.244140625
1777100175.6705005,-0.2073974609375,0.2879638671875,0.826904296875,-49.25537109375,27.77099609375,16.90673828125
1777100175.6705005,-0.206298828125,0.24169921875,0.8282470703125,-138.85498046875,-74.03564453125,8.36181640625
1777100175.6705005,-0.16943359375,0.243896484375,0.99365234375,-130.9814453125,-82.8857421875,-2.5634765625
